Paper Type,Fold Type,Launch Height,Distance (cm)
Printer,Dart,Standing,507.48
Printer,Dart,Standing,504.31
Printer,Dart,Sitting,498.24
Printer,Dart,Sitting,502.62
Printer,Standard,Standing,423.83
Printer,Standard,Standing,423.83
Printer,Standard,Sitting,422.9
Printer,Standard,Sitting,418.84
Newspaper,Dart,Standing,472.65
Newspaper,Dart,Standing,477.71
Newspaper,Dart,Sitting,462.68
Newspaper,Dart,Sitting,462.67
Newspaper,Standard,Standing,396.21
Newspaper,Standard,Standing,385.43
Newspaper,Standard,Sitting,376.38
Newspaper,Standard,Sitting,382.19
